CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
"adu, addu",,v,"ddu; arwaḥ/adu (Talġunt); tmešša ‘walk’; azi (Ketama)/azzi (Snh.) ‘run’; azi-d aġuri ‘come/run to me!’;
 ffuġ ‘go out!’ (rude), sir ‘go’",come!,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,2015,,,"body, action"
aɛ,,interj,"(ammaṣṣax?) 'dirty', amɛaffin 'bad smell', sayyeb =laisse'leave', waggef 'stop!', šin 'it's bad', muš smeḥ 'not nice', muš ṭayeb 'not tasty'","stop, leave, dirty, it will hurt you, it is bad",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"warning, negative"
aɛɛi ,,"interj, adj, adv",,"bad, not good, interj. when you dislike smth",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,"exxa! (mother to the child: don't touch, it's dirty), baby: exx, exxi ('I don't like it')","warning, negative"
aɛmm aɛmm ,,"v, n",,to eat; food,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,,"body, bodily function, action, food"
aɛmmaš,,"v, n",,to eat; food,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,,"body, bodily function, action, food"
aɛuaɛuš,,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,,"food, drink"
agu,αγγού,interj,no equivalent,"Said to babies to make them speak/smile, to encourage them to make first sounds; believed to be the first sounds the baby makes.",Greece,Greek,,Greek,,,2024,"it's an easy ""word"" for the baby to learn how to speak",,
agu,agu,interj,no equivalent,You can say this while having a time with a baby. It means you love him very much,Turkey,Turkic,,Turkish,,,2024,"Variations: Agu gugu, agucuk gugucuk. (Muzaffer, İzmir/Turkey)",,
agu,агу,interj,no equivalent,"Said to babies to make them speak/smile, to encourage them to make first sounds; believed to be the first sounds the baby makes.",Russian,Slavic,,Russian,,,2024,,,
aġu mummu,,interj,"~ (no transl.) 1) syn. of ngeġġa; 2) Ironic usage: illa kathadar mɛa lweld kbir kaybki ɛla ši haža w nta bġit tgul “nta maši sġir, katbki bḥal mummu”.",laugh/smile ~ said to the baby to make it stop cry? Or ironic usage to make fun of smb.,Morocco,Semitic,Arabic,Arabic (Moroccan),Rabat,,2014,"1) syn. of ngeġġa; 2) irony: said to an “old” kid (7-10 years old) who is crying like a baby to make him feel ashamed: “come on, you are not 2 years old any more, why are you crying?”. Not used by speakers in Marrakesh, Casablanca, Fes, Ketama.",,game
ah,,n,,camel,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,animals
aḥ,,v,,hurt oneself,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,warning
aḥ,,v,,hurt oneself,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
aha,,n,,"stop, watch out, careful, attention, leave it",Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
aḥa,احْا,interj,,"ouch, don't do it (said to deter a child from doing something)",Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
aḥebṭiṭ,,n,lkerc,belly,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,"The adult term lkerc comes from Arabic. The Berber word aẓebṭiṭ/ ẓẓebṭ occurs in close varieties (Aït Smaïl, Aït Hassaïn...) for the semantism of belly in the adult talk",,body
aḥḥ,,"n, v, adj, interj","ṯimssi ‘fire’,
 iḥma ‘it is hot’","fire, hot, sharp, warning",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","aḥḥ is a general interj (also in ADS, can be used in CDS), e.g. aḥḥ fuffu 'watch out, fire', aḥḥ immaḥ ‘watch out, it’s hot’.",,"warning, negative, quality"
aḥḥ,,"interj, adj",,"careful, hot! (warning)",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Also as interj. in ADS,,"quality, warning"
aḥḥ,,"n, adj, v",aḥḥ 'oh' (exclamation),"stop, leave, dirty, it will hurt you, it is bad; BT as warning for smth dangerous, sharp, hot e.g. fire, etc. Everything that can hurt/is painful",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"igga diddi 'he hurt himself' (e.g. he fell, etc.); cf. igg=as diddi 'he hurt smb' (lit. 'he did him/her diddi/pain')",,"body, negative, warning"
aḥḥ,,interj,,"ow, ouch, warning, pain, anything harmful (hot, sharp: fire, knife)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665,1665; 2015,"proverb: illi yinzel id-daḥḥ, ma i’ūlš ’aḥḥ ~ 'If you get into the kitchen, support the heat', 'If you don't support the heat, don't say ay-ay-ay'. Also used as interj. by adults when you burn your finger (vs. ayy when you hurt/cut yourself)",,"negative, warning, body, pain"
aḥḥ,,"interj, n, v",ɛand-ek,"stop, don't touch, attention, danger, dirt, pain",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu.",,"warning, negative, action"
"aḥḥ, ḥḥa",,"interj, adj",iḥma! 'hot!',"careful, hot! (warning)",Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,aḥḥ is interj. (not only BT),,"quality, warning"
aḥḥa,,"n, interj","wažaɛ 'pain', yawžaɛ 'he is hurt'; žureḥ 'injury'; taḥ 'fall'",,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,"ndirlek (M)/ndirlik (F) aḥḥa 'I will hurt you' (a threat); aḥḥa? 'are you hurt?', ɛendi aḥḥa 'I am hurt/ I have pain' (said by the baby)","warning, body, pain, negative"
aḥḥa,,interj,"(ammaṣṣax?) 'dirty', amɛaffin 'bad smell', sayyeb =laisse'leave', waggef 'stop!', šin 'it's bad', muš smeḥ 'not nice', muš ṭayeb 'not tasty'","stop, leave, dirty, it will hurt you, it is bad",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"warning, negative"
"aḥḥəw, ḥaww",,n,iziṭ,donkey,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,syn: ašš 'stop!' (to a donkey),,animals
aḥlu,,"n, v, adj","? tmier ? (lferḥa?)
 lefrḥ","joy, happiness",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,"quality, positive, state"
akh anel,ախ անել,v,,hit,Armenia,Armenian,,Armenian,,,2024,,,
aḳuḳul,,n,amqerqur,frog,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,animals
alveolar click; tsk tsk,,interj,,"bad, don't",Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
ama,,n,,mother,Spain,Romance,,Spanish,"Spain, Navarra",,2024,from Basque,,
amam,ամամ,v,,eat,Armenia,Armenian,,Armenian,,,2024,,,
âman,,n,,water; to drink,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,*aman is a standard word for 'water'?!,,"food, drink"
ambuwa,,"n, v",imín,water; to drink,Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,"food, drinks"
ambwa,امْبوا,n,,water,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
"aminuš, minuša, taminušt",,n,"amšiš, PL imšaš",cat,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Sidi Aïch) – Aṯ Uġlis,,2015,"imšaš in PL (but not the BT term) can be used to scare the child. Typical personal name of the cat: minu, minuš. Animal calls: pšpšpš to call the cat, ṣṣab to chase the cat away.",,
ammuš,,n,,"baby, child",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
anɛanɛa,,v,nher,drive: to drive,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,The standard/adult term is from Arabic,,action
anna,,n,,mother,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,kinship
apa,,interj,,up,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
araḥ,,v,,come!,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,From Berber arwaḥ ?,,"body, action"
araḥ,,v,"ddu; arwaḥ/adu (Talġunt); tmešša ‘walk’; azi (Ketama)/azzi (Snh.) ‘run’; azi-d aġuri ‘come/run to me!’;
 ffuġ ‘go out!’ (rude), sir ‘go’",come!,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,2015,,,"body, action"
"aššš, asss",,interj,"askut (MSG), askti (FSG), asktu (MPL), asktan (FPL)","shut up, be quiet (interj.)",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,action
ata,άτα,v,βόλτα,walk,Greece,Greek,,Greek,,,2024,usually when the baby learns to walk,let's go for ata,
aṭuṛṛu,,n,azger,bull,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Sidi Aïch) – Aṯ Uġlis,,2015,< Sp. 'bull'. Not BT in Béjaïa (Bujlil) – Aṯ ɛebbas: can be used by adults in exceptional contexts.,,
au,,interj,,"hurt, pain, painful",Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
aupa,,interj,,hi,"Spain, Navarra",Basque,,Basque,Navarra,,2024,"From Spanish pitilín, a loan.",,
axxa,,"n, adj, interj",,"dirt, shit",Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,"quality, negative, warning"
ay dede,,n,ay,moon,Turkey,Turkic,,Turkish,,,2024,,,
äyyäy,әйәй,adj,әдемі,"beautiful, e.g. ''I have a beautiful (ayyay) doll''.",Kazakhstan,Turkic,,Kazakh,South,,2024,,әяяяй көйлек / aiyaaai koilek/ ‘beautiful dress’,
azi,,v,,come!,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,From ADS aži (with the replacement ž > z). Ex. azi ɛnd ɛammu 'Come to (your) uncle',,"body, action"
ba-sidi,,n,ba-sidi (BT = adult),grandfather,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,(BT = adult),,"humans, kinship"
baba,,n,,father,Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665,1665; 2015,"Also used in modern Eg. Arabic. (Often by low/middle class, vs. lowest class: abuya; highest class: French père).",,kinship
baba,,n,,father,Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665,1665; 2015,"Also used in modern Eg. Arabic. (Often by low/middle class, vs. lowest class: abuya; highest class: French père).",,kinship
baba,,n,baba,father,Algeria,Semitic,,Arabic (Algerian),"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,"pappa (modern), papa (Ar+Berber), papi (new/younger generation); baba (older generation, same as AT), some Berber speakers, older term: dadda, AT baba",,kinship
baba,,n,baba,father,Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,"pappa (modern), papa (Ar+Berber), papi (new/younger generation); baba (older generation, same as AT), some Berber speakers, older term: dadda, AT baba",,kinship
baba,,n,,father,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,Same as adult speech,,"humans, kinship"
baba,,n,,father,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,Adult =BT?,,"humans, kinship"
baba,,n,?,father,Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,Adult =BT?,,"humans, kinship"
baba,,n,,father,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,Adult =BT?,,"humans, kinship"
baba,,n,,father,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,Adult =BT?,,kinship
baba,,n,,father,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
baba,,n,"bati (E. Libya), buya (W. Libya)",father,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"humans, kinship"
ḇaḇa,,n,ḇaḇa,father,Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,(BT = adult),,"humans, kinship"
"bāba, ḅāḅa",,n ,,father,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
"baba, babba, bʷabba, ḅʷaḅḅa, pappa",,n,,bread,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,food
"baba, ḇḇa, bba",,n,"l-walid, bbwa",father,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,"Difference depending on the age: ḇḇa/vva = for younger children, bba = for elder children (after 3-4?)",,"humans, kinship"
babah,,n,aydi,dog,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,animals
babas (ḇaḇas?),,n,baba (ḇaḇa?),father,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Kinship; -s is originally 3SG possessive; cf. dadda-s, nanna-s, mamma-s etc. BT term differs from the adult word only in the -s. Brihmat (Béjaïa (Sidi Aïch) – Aṯ Uġlis) does not use -s. It's ḇaḇa.",Atni baba-s akked mamma-s ‘Here are papa and mama’. Ayġer ur temmaḥed ara baba-s? ‘Why didn’t you kiss (BT) daddy (BT)?’,"humans, kinship"
babas (ḇaḇas),,n,baba (ḇaḇa?),father,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Kinship; -s is originally 3SG possessive; cf. dadda-s, nanna-s, mamma-s etc. BT term differs from the adult word only in the -s.",Atni baba-s akked mamma-s ‘Here are papa and mama’. Ayġer ur temmaḥed ara baba-s? ‘Why didn’t you kiss (BT) daddy (BT)?’,"humans, kinship"
babay,бабай,n,құбыжық ,"monster, a night spirit, an imaginary creature mentioned by parents to frighten naughty children.",Kazakhstan,Turkic,,Kazakh,South,,2024,,,
babba,,n,,father,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,kinship
babba,,n,aġrum,bread,Morocco,Amazigh (Berber),,Tamazight,Ait Sadden,,2014,,,food
ḅaḅḅa,,interj,,"stop, leave me alone/ in peace, enough! (?)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006,German: rutsch mir den Buckel runter. Not used by Hassan.,,"negative, warning"
"babba, bbabba",,n,l-xobz (l-xubz,bread,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Cf. Berber ppappa, papa, pappa.",,food
babbaḥ,,v:conj,iziḓ ‘it is tasty’,"tasty, nice, sweet",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,cf. ibbuḥ in Ketama Berber,,quality
babbay,,n,"ṣṣḇayaḓ (always PL) = irekkasen, SG arkkas (old word, rare)",shoes,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025",,,clothes
ḅaḅḅil,,n,"əṭṭṛəṃḅil, əlɛəṛḅiyya",car,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"object, world, vehicle"
"babbu, babba, papa, bappa, pappa",,n,"xubz, PL xbiz, DIM xbiza, PL xbizat",bread,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Fes",,2014,babbu in Marrakesh,,food
ḅaḅen,,n,aẓṛab,shoes,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,clothes
ḅabu,,n,tġaṛa,bread,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,food
babun,,n,,soap,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,,"body, object, bath"
babun,,n,,soap,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,,"body, object, bath"
babutt (baεbuṭ?),,n,,belly,Algeria,Amazigh (Berber),,Kabyle,Makouda/Tigzirt sur mer,,1998,,,"body, body part"
babutt (baεbuṭ),,n,,belly,Algeria,Amazigh (Berber),,Kabyle,Makouda/Tigzirt sur mer,,1998,,,"body, body part"
badaš,,v,,"get up, rise",Algeria,Amazigh (Berber),,Kabyle,Makouda/Tigzirt sur mer,,1998,,,"body, action"
badaš,,v,,"get up, rise",Algeria,Amazigh (Berber),,Kabyle,Makouda/Tigzirt sur mer,,1998,,,"body, action"
"baɛ, baɛɛ, baɛbaɛ",,n,"ḥawli, kebš","sheep, goat",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Cf. Berber baɛa,,animals
"baɛa, beɛya",بعّا / بعيا,n,,sheep,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
baɛaš,,n,"akrar, axerfi",sheep,Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,See also baɛɛa 'meat' (in another dialect). Cf. beɛɛaš in Béjaïa (Bujlil) – Aṯ ɛebbas. Can be without final -š.,,animals
baɛbut,,n,,belly,Libya,Amazigh (Berber),,Zwara,,,2014,,,
baɛɛ,,n,"udži, PL ibeɛɛašen (not used in Iqeraiyen); aḥuři/išarri","sheep, goat",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"See also ibeɛɛašen ""children talk""",,animals
baɛɛ,,n,"aḥuli = ademman, PL iḥuliyen = idmmanen",sheep,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,Sound of the animal and the animal itself (BT),,animals
baɛɛ,,n,ḥawli,sheep,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,animals
baɛɛ,,n,"udži, PL iḥuriyen",sheep,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2014,,,animals
baɛɛa,,n,ibeɛɛašen (PL) 'sheep'; (ṯ)aġaṭṭ 'goat',"sheep, goat",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,"In Ketama, ibeɛɛšen is used among adults. In the Riff, ibeɛɛšen is used between the age of 5 to 13 (children talk); small children say baɛɛ; adults say aḥuři/išarri.",,animals
baɛɛa,,n,"hawli 'sheep' (M), naža (F); meɛza 'goat', PL meɛz, PL.F meɛzat,
 DIM meɛyza, PL
 meɛyzat","sheep, goat",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,Onomatopoeia. Animal and the sound that the animal makes. Not used in Rashidia (Ayt Merghad).,,animals
baɛɛa,,n,,sheep,Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,sound of the sheep > sheep,,animals
baɛɛa,,n,aksum,meat,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"< onomatopoeia for sheep’s sound, beɛɛ ‘baa’. This word is also used to refer to sheep in BT. This word might indicate that (in the past) mutton was the most common meat in Kabylia (?!). In adult Kabyle, [b] is pronounced [ḇ]. However, in baɛɛa, [b] is plosive.",,food
baɛɛa,,n,aksum,meat,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"< onomatopoeia for sheep’s sound, beɛɛ ‘baa’. This word is also used to refer to sheep in BT. This word might indicate that (in the past) mutton was the most common meat in Kabylia (?!). In adult Kabyle, [b] is pronounced [ḇ]. However, in baɛɛa, [b] is plosive.",,food
baɛɛa,,"n, interj",lġula 'ogress',"everything dangerous and that makes afraid, fear, be afraid, watch out",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,"same as 'sheep', but also refers to everything that makes afraid",,"fear, warning, negative"
baɛɛa,,n,ikerri (a variant of more archaic akrar); axerfi,sheep,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"See also baɛɛa 'meat'. In adult Kabyle, [b] is pronounced [ḇ]. However, in baɛɛa, [b] is plosive. Onomatopoeia for sheep’s sound, beɛɛ ‘baa’. The sound of the sheep is beɛɛ (with a schwa) in those areas where [ɛ] is clearly pronounced. In the Iwaḍiyen, it sounds like [baɛ] with a weak [ɛ]. ‘To bleat’ is sbeɛbeɛ (in the Iwaḍiyen: [svèɛvèɛ]): yeqqim yikerri-nni yesbeɛbuɛ sṭul n yiḍ ‘The sheep kept bleating all night long’.",,animals
baɛɛa,,n,ikerri (a variant of more archaic akrar); axerfi,sheep,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"See also baɛɛa 'meat'. In adult Kabyle, [b] is pronounced [ḇ]. However, in baɛɛa, [b] is plosive. Onomatopoeia for sheep’s sound, beɛɛ ‘baa’. The sound of the sheep is beɛɛ (with a schwa) in those areas where [ɛ] is clearly pronounced. In the Iwaḍiyen, it sounds like [baɛ] with a weak [ɛ]. ‘To bleat’ is sbeɛbeɛ (in the Iwaḍiyen: [svèɛvèɛ]): yeqqim yikerri-nni yesbeɛbuɛ sṭul n yiḍ ‘The sheep kept bleating all night long’.",,animals
baɛɛa,,n,"aġídəd 'goat kid', tġəṭ (tġaṭ?) 'goat'; tixsi 'sheep or goat'; azáləq 'billy goat'",goat,Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,animals
baɛɛa,,n,,"sheep, ram",Libya,Amazigh (Berber),,Zwara,,,2014,,,
baɛɛa,,n,ulli,sheep,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
"baɛɛa, baɛ, beɛɛ",,n,,"sheep, goat, lamb",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,animals
"baɛɛa, baɛa",,n,tġət,"sheep, goat",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,animals
"baɛɛa, baɛbaɛ",,n,"ikerri; axerfi, azimar",sheep,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Sidi Aïch) – Aṯ Uġlis,,2015,baɛɛa: used without final -š; baɛbaɛ: reduplication. Belaïd (Béjaïa (Bujlil) – Aṯ ɛebbas): baɛbaɛ can be used in adult speech in pejorative context for people who follow smb/smth as sheep (“qūm baɛbaɛ”) (Not used in At Zmenzer).,,
baɛɛa(š),,n,,"sheep, goat",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,animals
baɛɛa(š),,n,,"sheep, goat",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,animals
baɛɛa(š),,n,,"sheep, goat",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,animals
baɛɛu,,n ,,"scary, smth scary",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
baɛu,,n,,dog,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Sidi Aïch) – Aṯ Uġlis,,2015,"hawhaw 'dog' (<onomatopoeia), baɛu ('monster' and 'dog'), to scare the child",,
baɛuš,,n,"abaɛuš (M/coll.), tabaɛušt (F/DIM/individual)","insect(s), bug, etc.",Algeria,Amazigh (Berber),,Kabyle,"At Zmenzer, Béjaïa (Sidi Aïch) – Aṯ Uġlis",,"2014, 2015","Used without final -š, baɛu means 'monster' (used to scare children). Belaïd (Béjaïa (Bujlil) – Aṯ ɛebbas) uses baɛu for 'insects' (and hence it does not mean 'monster, beast').",,"animals, insects"
baɛuš,,n,,"insect(s), beatle, etc.",Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,,,"animals, insects"
bahbba,,n,?,"shoe, shoes",Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,,,"body, clothes"
baḥḥ,,"v, interj",,"gone, it disappeared",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,not used in Ourzazate,,"game, quality, action"
baḥḥ,,"interj, v",ma bqa š,"gone, finished, disappeared",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"game, quality, state, game"
baḥḥ,,interj,,"nothing left, all gone",Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
baḥḥ,,interj,,all gone,"Syria, Egypt",Semitic,Arabic,"Arabic (Syrian), Arabic (Egyptian)",,Sabbagh 1812 or 1886 cited in Ferguson 1964,1886,,,
